titulo|tipo|marca|modelo|año|kilometraje|precio|precio_etiqueta|transmision|caja|detalle|tags|ubicacion|url_auto
Kia Sportage 2024|seminuevos|Kia|Sportage|2024|51930.0|32500.0|$30K - $40K|Automática||"Diesel|Automática
Kilometraje:
51,930 Kms
Lima, Lima
TOYOTA FORTUNER 3.0 AT SRV / JC UGARTE"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/toyota-fortuner-2015-1718165
Ford Territory 2022|seminuevos|Ford|Territory|2022|26128.0|14000.0|$10K - $20K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
26,128 Kms
Lima, Lima"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/nissan-sentra-2018-1835002
Audi A4 2017|seminuevos|Audi|A4|2017|35069.0|21900.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
35,069 Kms
Lima, Lima
AUDI A4 ATTRACTION TFSI S-TRONIC 2017"|DE LUJO|Lima, Lima|https://neoauto.com/auto/seminuevo/audi-a4-2017-1843008
Toyota Yaris Cross 2025|seminuevos|Toyota|Yaris Cross|2025|9285.0|23500.0|$20K - $30K|Automática|Secuencial|"Híbrido|Automática - Secuencial
Kilometraje:
9,285 Kms
Lima, Lima
YARIS CROSS 1.5 HV FULL CVT"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/toyota-yaris-cross-2025-1847934
Mercedes Benz G63 Amg 2013|seminuevos|Mercedes Benz|G63 Amg|2013|45000.0|149000.0|$40K a más|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
45,000 Kms
Lima, Lima
Camioneta Disponible En Tienda - El Polo - Surco"|COMO NUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/mercedes-benz-g63-amg-2013-1846629
Toyota Hilux 2022|seminuevos|Toyota|Hilux|2022|92216.0|30700.0|$30K - $40K|Mecánica||"Diesel|Mecánica
Kilometraje:
92,216 Kms
Lima, Lima"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/toyota-hilux-2022-1844474
Volvo Ex30 2024|seminuevos|Volvo|Ex30|2024|6358.0|41990.0|$40K a más|Automática||"Eléctrico|Automática
Kilometraje:
6,358 Kms
Lima, Lima
VEHICULO DE EXHIBICION"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/volvo-ex30-2024-1837980
Toyota Corolla Cross 2024|seminuevos|Toyota|Corolla Cross|2024|19453.0|29000.0|$20K - $30K|Automática|Secuencial|"Híbrido|Automática - Secuencial
Kilometraje:
19,453 Kms
Lima, Lima
TOYOTA COROLLA CROSS HYBRID 1,8 HV PREMIUM CVT"|COMO NUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/toyota-corolla-cross-2024-1846591
Volkswagen Amarok 2018|seminuevos|Volkswagen|Amarok|2018|88313.0|24500.0|$20K - $30K|Mecánica||"Diesel|Mecánica
Kilometraje:
88,313 Kms
Lima, Lima
VOLKSWAGEN AMAROK COMFORTLINE BITDI M/T 2018 - JC UGARTE"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/volkswagen-amarok-2018-1647713
Changan Cs55 2021|seminuevos|Changan|Cs55|2021|32319.0|14500.0|$10K - $20K|Automática||"Gasolina|Automática
Kilometraje:
32,319 Kms
Lima, Lima"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/changan-cs55-2021-1843319
Volkswagen Crossfox 2021|seminuevos|Volkswagen|Crossfox|2021|56910.0|11900.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Kilometraje:
56,910 Kms
Arequipa, Arequipa"|UNICO DUEÑO|Arequipa, Arequipa|https://neoauto.com/auto/seminuevo/volkswagen-crossfox-2021-1842054
Kia Sportage 2018|seminuevos|Kia|Sportage|2018|77000.0|17900.0|$10K - $20K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
77,000 Kms
Lima, Lima"|DE LUJO|Lima, Lima|https://neoauto.com/auto/seminuevo/kia-sportage-2018-1843728
Audi Q5 Sportback 2024|seminuevos|Audi|Q5 Sportback|2024|8000.0|66900.0|$40K a más|Automática|Secuencial|"Gasolina-Híbrido|Automática - Secuencial
Kilometraje:
8,000 Kms
Lima, Lima"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/audi-q5-sportback-2024-1846161
Toyota Corolla Cross 2023|seminuevos|Toyota|Corolla Cross|2023|32884.0|25000.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
32,884 Kms
Lima, Lima"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/toyota-corolla-cross-2023-1835884
Toyota Land Cruiser Prado 2024|seminuevos|Toyota|Land Cruiser Prado|2024|5302.0|55000.0|$40K a más|Mecánica||"Gasolina|Mecánica
Kilometraje:
5,302 Kms
Lima, Lima
TOYOTA LAND CRUISER PRADO TX-L M/T 2.7 / JC UGARTE"|UNICO DUEÑO|Lima, Lima|https://neoauto.com/auto/seminuevo/toyota-land-cruiser-prado-2024-1840428
Subaru Legacy 2020|seminuevos|Subaru|Legacy|2020|15940.0|39900.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
15,940 Kms
Lima, Lima
BMW X1 20i SDrive 2022 - JC UGARTE"|DE LUJO|Lima, Lima|https://neoauto.com/auto/seminuevo/bmw-x1-20i-2022-1700888
Porsche Cayenne 2016|seminuevos|Porsche|Cayenne|2016|25366.0|24900.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
25,366 Kms
Lima, Lima"|MOTOR POTENTE|Lima, Lima|https://neoauto.com/auto/seminuevo/subaru-legacy-2020-1811633
Jeep Grand Cherokee Limited 2012|seminuevos|Jeep|Grand Cherokee Limited|2012|84200.0|36900.0|$30K - $40K|Automática||"Gasolina|Automática
Kilometraje:
84,200 Kms
Lima, Lima"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/porsche-cayenne-2016-1843683
Toyota C-Hr 2021|seminuevos|Toyota|C-Hr|2021|3739.0|93991.0|$40K a más|Automática||"Eléctrico|Automática
Kilometraje:
3,739 Kms
Lima, Lima
BMW IX XDrive40 Eléctrico"|UNICO DUEÑO|Lima, Lima|https://neoauto.com/auto/seminuevo/bmw-ix-2024-1842481
Mercedes Benz Glc 200 2020|seminuevos|Mercedes Benz|Glc 200|2020|3956.0|60900.0|$40K a más|Automática||"Eléctrico|Automática
Kilometraje:
3,956 Kms
Lima, Lima
BMW IX1 XDRIVE 30L M SPORT"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/bmw-ix1-2025-1837650
Lexus Rx 450h F Sport 2023|seminuevos|Lexus|Rx 450h F Sport|2023|2284.0|76991.0|$40K a más|Automática||"Eléctrico|Automática
Kilometraje:
2,284 Kms
Lima, Lima
BMW I4 EDrive40 IPerformance Eléctrico Paquete M Sport"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/bmw-i4-2024-1803124
Volvo Xc-90 2024|seminuevos|Volvo|Xc-90|2024|15000.0|229000.0|$40K a más|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
15,000 Kms
Lima, Lima
Auto En Execlente Estado"|COMO NUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/ferrari-f430-2005-1846009
Mercedes Benz Gl 400 2015|seminuevos|Mercedes Benz|Gl 400|2015|39700.0|33500.0|$30K - $40K|Automática||"Gasolina|Automática
Kilometraje:
39,700 Kms
Lima, Lima
Luxury 4x4, GARANTÍA Y SERVICIOS DIVEMOTOR"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/mercedes-benz-glc-200-2020-1847809
Volkswagen Taos 2022|seminuevos|Volkswagen|Taos|2022|38000.0|62000.0|$40K a más|Automática|Secuencial|"Híbrido|Automática - Secuencial
Kilometraje:
38,000 Kms
Lima, Lima
Camioneta Disponible En Tienda - Pezet - San Isidro"|UNICO DUEÑO|Lima, Lima|https://neoauto.com/auto/seminuevo/lexus-rx-450h-f-sport-2023-1847813
Volkswagen Tiguan 2020|seminuevos|Volkswagen|Tiguan|2020|7117.0|72990.0|$40K a más|Automática||"Gasolina-Híbrido|Automática
Kilometraje:
7,117 Kms
Lima, Lima
VEHICULO DE EXHIBICION"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/volvo-xc-90-2024-1837983
Volkswagen Jetta 2019|seminuevos|Volkswagen|Jetta|2019|64800.0|29500.0|$20K - $30K|Automática||"Gasolina|Automática
Kilometraje:
64,800 Kms
Lima, Lima
4X4 (03 FILAS), GARANTÍA Y SERVICIOS DIVEMOTOR"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/mercedes-benz-gl-400-2015-1847845
Mazda Cx-60 2024|seminuevos|Mazda|Cx-60|2024|86668.0|13990.0|$10K - $20K|Automática||"Dual|Automática
Kilometraje:
86,668 Kms
Lima, Lima
HONDA CRV LX-SE / JC UGARTE"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/honda-cr-v-2011-1845053
Volkswagen Tiguan Allspace 2020|seminuevos|Volkswagen|Tiguan Allspace|2020|50000.0|21900.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
50,000 Kms
Lima, Lima"|UNICO DUEÑO|Lima, Lima|https://neoauto.com/auto/seminuevo/volkswagen-taos-2022-1843713
Jeep Grand Cherokee Laredo 2019|seminuevos|Jeep|Grand Cherokee Laredo|2019|44000.0|24900.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
44,000 Kms
Lima, Lima"|UNICO DUEÑO|Lima, Lima|https://neoauto.com/auto/seminuevo/volkswagen-tiguan-2020-1843715
Audi Q7 2017|seminuevos|Audi|Q7|2017|79900.0|13900.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Kilometraje:
79,900 Kms
Lima, Lima"|OCASIÓN|Lima, Lima|https://neoauto.com/auto/seminuevo/volkswagen-jetta-2019-1839506
Chevrolet Tahoe 2024|seminuevos|Chevrolet|Tahoe|2024|2600.0|52000.0|$40K a más|Automática||"Gasolina-Híbrido|Automática
Kilometraje:
2,600 Kms
Lima, Lima"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/mazda-cx-60-2024-1846235
Hyundai Santa Fe 2018|seminuevos|Hyundai|Santa Fe|2018|71000.0|19900.0|$10K - $20K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
71,000 Kms
Lima, Lima"|OCASIÓN|Lima, Lima|https://neoauto.com/auto/seminuevo/volkswagen-tiguan-allspace-2020-1834436
Mercedes Benz C63 Amg S 2015|seminuevos|Mercedes Benz|C63 Amg S|2015|61928.0|29900.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
61,928 Kms
Lima, Lima
JEEP GRAND CHEROKEE LAREDO / JC UGARTE"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/jeep-grand-cherokee-laredo-2019-1798062
Ford Territory 2022|seminuevos|Ford|Territory|2022|106543.0|26000.0|$20K - $30K|Automática||"Gasolina|Automática
Kilometraje:
106,543 Kms
Lima, Lima"|DE LUJO|Lima, Lima|https://neoauto.com/auto/seminuevo/audi-q7-2017-1808003
Toyota Corolla 2016|seminuevos|Toyota|Corolla|2016|3251.0|74500.0|$40K a más|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
3,251 Kms
Lima, Lima
CHEVROLET TAHOE Z71 AT 4WD 2024"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/chevrolet-tahoe-2024-1845585
Mercedes Benz Cla 200 2023|seminuevos|Mercedes Benz|Cla 200|2023|13400.0|35990.0|$30K - $40K|Automática||"Gasolina|Automática
Kilometraje:
13,400 Kms
Lima, Lima"|SERVICIO CONCESIONARIO|Lima, Lima|https://neoauto.com/auto/seminuevo/mercedes-benz-cla-200-2023-1847423
Mercedes Benz Gle 63 S Amg 2023|seminuevos|Mercedes Benz|Gle 63 S Amg|2023|160.0|169000.0|$40K a más|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
160 Kms
Lima, Lima
Camioneta Disponible En Tienda - Pezet - San Isidro"|COMO NUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/mercedes-benz-gle-63-s-amg-2023-1838555
Toyota Corolla 2023|seminuevos|Toyota|Corolla|2023|39449.0|19000.0|$10K - $20K|Mecánica||"Gas GNV|Mecánica
Kilometraje:
39,449 Kms
Lima, Lima
TOYOTA COROLLA 1.6 XEI M/T (GNV)"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/toyota-corolla-2023-1847644
Toyota Yaris 2023|seminuevos|Toyota|Yaris|2023|23721.0|15500.0|$10K - $20K|Automática||"Gasolina|Automática
Kilometraje:
23,721 Kms
Lima, Lima
TOYOTA YARIS HATCHBACK 1.3 MID CVT"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/toyota-yaris-2023-1845067
Hyundai Grand I10 2018|seminuevos|Hyundai|Grand I10|2018|86253.0|10000.0|$5K - $10K|Automática||"Gasolina|Automática
Kilometraje:
86,253 Kms
Lima, Lima"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/hyundai-grand-i10-2018-1846112
Peugeot 2008 2023|seminuevos|Peugeot|2008|2023|23243.0|17500.0|$10K - $20K|Automática||"Gasolina|Automática
Kilometraje:
23,243 Kms
Lima, Lima
PEUGEOT 2008 1.6 VTI 115 HP AT6 2022 GRIS A/T SUV 23243 KMS"|COMO NUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/peugeot-2008-2023-1810963
Volkswagen Jetta 2019|seminuevos|Volkswagen|Jetta|2019|56700.0|14900.0|$10K - $20K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
56,700 Kms
Lima, Lima"|REMATO|Lima, Lima|https://neoauto.com/auto/seminuevo/volkswagen-jetta-2019-1838038
Ford Edge Titanium 2023|seminuevos|Ford|Edge Titanium|2023|44494.0|35000.0|$30K - $40K|Automática||"Gasolina|Automática
Kilometraje:
44,494 Kms
Lima, Lima
FORD EDGE TITANIUM 4X4 AUTOMATICO MOTOR2.0"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/ford-edge-titanium-2023-1843693
Mercedes Benz Gle 400 4matic 2016|seminuevos|Mercedes Benz|Gle 400 4matic|2016|72950.0|27500.0|$20K - $30K|Automática||"Gasolina|Automática
Kilometraje:
72,950 Kms
Lima, Lima
Kit Amg 4X4, GARANTÍA Y SERVICIOS DIVEMOTOR"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/mercedes-benz-gle-400-4matic-2016-1847846
Volkswagen Tiguan Allspace 2018|seminuevos|Volkswagen|Tiguan Allspace|2018|52000.0|18900.0|$10K - $20K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
52,000 Kms
Lima, Lima"|REMATO|Lima, Lima|https://neoauto.com/auto/seminuevo/volkswagen-tiguan-allspace-2018-1833287
Hyundai Kona 2025|seminuevos|Hyundai|Kona|2025|3001.0|24990.0|$20K - $30K|Automática|Secuencial|"Gas GLP|Automática - Secuencial
Kilometraje:
3,001 Kms
Lima, Lima
Vehículo De Exhibición"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/hyundai-kona-2025-1839718
Mercedes Benz A200 2018|seminuevos|Mercedes Benz|A200|2018|34341.0|20990.0|$20K - $30K|Automática||"Gasolina|Automática
Kilometraje:
34,341 Kms
Lima, Lima
ENTREGA INMEDIATA"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/mercedes-benz-a200-2018-1840758
Nissan Versa 2023|seminuevos|Nissan|Versa|2023|17137.0|15290.0|$10K - $20K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
17,137 Kms
Lima, Lima"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/nissan-versa-2023-1846596
Porsche Macan S 2021|seminuevos|Porsche|Macan S|2021|25380.0|66900.0|$40K a más|Automática||"Gasolina|Automática
Kilometraje:
25,380 Kms
Lima, Lima"|DE LUJO|Lima, Lima|https://neoauto.com/auto/seminuevo/porsche-macan-s-2021-1841638
Mazda 6 2023|seminuevos|Mazda|6|2023|11754.0|23000.0|$20K - $30K|Automática||"Gasolina|Automática
Kilometraje:
11,754 Kms
Lima, Lima"|SERVICIO CONCESIONARIO|Lima, Lima|https://neoauto.com/auto/seminuevo/mazda-6-2023-1844472
Porsche Cayenne 2024|seminuevos|Porsche|Cayenne|2024|8900.0|89900.0|$40K a más|Automática||"Gasolina|Automática
Kilometraje:
8,900 Kms
Lima, Lima"|COMO NUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/porsche-cayenne-2024-1847141
Hyundai Creta 2024|seminuevos|Hyundai|Creta|2024|2324.0|61991.0|$40K a más|Automática||"Eléctrico|Automática
Kilometraje:
2,324 Kms
Lima, Lima
BMW IX1 XDrive30 Eléctrico"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/bmw-x1-2023-1817372
Peugeot Partner 2023|seminuevos|Peugeot|Partner|2023|8500.0|20990.0|$20K - $30K|Mecánica||"Gas GLP|Mecánica
Kilometraje:
8,500 Kms
Lima, Lima
Seminuevo De Calidad"|COMO NUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/hyundai-creta-2024-1831687
Chevrolet Captiva 2023|seminuevos|Chevrolet|Captiva|2023|45621.0|15200.0|$10K - $20K|Mecánica||"Diesel|Mecánica
Kilometraje:
45,621 Kms
Lima, Lima"|MOTOR ECONÓMICO|Lima, Lima|https://neoauto.com/auto/seminuevo/peugeot-partner-2023-1844614
Chevrolet Tracker 2021|seminuevos|Chevrolet|Tracker|2021|40000.0|15000.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Kilometraje:
40,000 Kms
Lima, Lima"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/chevrolet-tracker-2021-1846945
Toyota Land Cruiser Prado 2022|seminuevos|Toyota|Land Cruiser Prado|2022|115000.0|43900.0|$40K a más|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
115,000 Kms
Arequipa, Arequipa"|UNICO DUEÑO|Arequipa, Arequipa|https://neoauto.com/auto/seminuevo/toyota-land-cruiser-prado-2022-1847802
Kia Sportage 2024|seminuevos|Kia|Sportage|2024|25.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
25 Kms
Lima, Lima"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/kia-sportage-2024-1842487
Chery Q22 2021|seminuevos|Chery|Q22|2021|54641.0|7700.0|$5K - $10K|Mecánica||"Gas GLP|Mecánica
Kilometraje:
54,641 Kms
Lima, Lima"|MOTOR ECONÓMICO|Lima, Lima|https://neoauto.com/auto/seminuevo/chery-q22-2021-1832839
Nissan Versa 2023|seminuevos|Nissan|Versa|2023|32500.0|17990.0|$10K - $20K|Automática||"Gasolina|Automática
Kilometraje:
32,500 Kms
Lima, Lima"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/nissan-versa-2023-1846083
Kia Sonet 2024|seminuevos|Kia|Sonet|2024|12420.0|50991.0|$40K a más|Automática||"Híbrido|Automática
Kilometraje:
12,420 Kms
Lima, Lima
BMW 330e Híbrido"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/bmw-330e-2024-1836461
Citroen C-4 2024|seminuevos|Citroen|C-4|2024|870.0|52991.0|$40K a más|Automática||"Híbrido|Automática
Kilometraje:
870 Kms
Lima, Lima
BMW 330e Híbrido"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/bmw-330e-2024-1836474
Peugeot Partner 2024|seminuevos|Peugeot|Partner|2024|151.0|54991.0|$40K a más|Automática||"Gasolina|Automática
Kilometraje:
151 Kms
Lima, Lima
BMW M235i XDrive Gran Coupé M Performance"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/bmw-m235i-xdrive-grand-coupe-2024-1832598
Hyundai I20 2023|seminuevos|Hyundai|I20|2023|4890.0|19000.0|$10K - $20K|Automática||"Gasolina|Automática
Kilometraje:
4,890 Kms
Lima, Lima"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/kia-sonet-2024-1846422
Jeep Grand Cherokee Overland 2023|seminuevos|Jeep|Grand Cherokee Overland|2023|369.0|18500.0|$10K - $20K|Automática||"Gasolina|Automática
Kilometraje:
369 Kms
Lima, Lima"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/citroen-c-4-2024-1847855
Audi A3 Sportback 2020|seminuevos|Audi|A3 Sportback|2020|53920.0|15250.0|$10K - $20K|Mecánica||"Diesel|Mecánica
Kilometraje:
53,920 Kms
Lima, Lima"|MOTOR ECONÓMICO|Lima, Lima|https://neoauto.com/auto/seminuevo/peugeot-partner-2024-1844615
Audi A3 Sedan 2018|seminuevos|Audi|A3 Sedan|2018|20300.0|15490.0|$10K - $20K|Automática||"Gasolina|Automática
Kilometraje:
20,300 Kms
Lima, Lima
ENTREGA INMEDIATA"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/hyundai-i20-2023-1842352
Citroen Jumper 2021|seminuevos|Citroen|Jumper|2021|92650.0|12900.0|$10K - $20K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
92,650 Kms
Arequipa, Arequipa"|OCASIÓN|Arequipa, Arequipa|https://neoauto.com/auto/seminuevo/bmw-120i-2016-1835720
Suzuki Vitara 2023|seminuevos|Suzuki|Vitara|2023|3642.0|69990.0|$40K a más|Automática||"Híbrido|Automática
Kilometraje:
3,642 Kms
Lima, Lima
JEEP Grand Cherokee 4xE Overland"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/jeep-grand-cherokee-overland-2023-1846455
Chery Q22 2022|seminuevos|Chery|Q22|2022|69273.0|8300.0|$5K - $10K|Mecánica||"Gas GLP|Mecánica
Kilometraje:
69,273 Kms
Lima, Lima"|MOTOR ECONÓMICO|Lima, Lima|https://neoauto.com/auto/seminuevo/chery-q22-2022-1825525
Chery Tiggo 7 Pro 2023|seminuevos|Chery|Tiggo 7 Pro|2023|27832.0|78991.0|$40K a más|Automática||"Gasolina|Automática
Kilometraje:
27,832 Kms
Lima, Lima
BMW X3 M40i Performance"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/bmw-x3-m40i-2023-1826836
Jeep Renegade 2022|seminuevos|Jeep|Renegade|2022|25500.0|15990.0|$10K - $20K|Automática||"Gasolina|Automática
Kilometraje:
25,500 Kms
Lima, Lima
Seminuevo De Calidad"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/chery-tiggo-7-pro-2023-1837072
Mazda 3 Sport 2021|seminuevos|Mazda|3 Sport|2021|16816.0|102991.0|$40K a más|Automática||"Gasolina|Automática
Kilometraje:
16,816 Kms
Lima, Lima
BMW X7 40i Executive 3ra Fila De Asientos"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/bmw-x7-40i-2024-1845825
Peugeot Partner 2024|seminuevos|Peugeot|Partner|2024|1962.0|83991.0|$40K a más|Automática||"Eléctrico|Automática
Kilometraje:
1,962 Kms
Lima, Lima
BMW I5 EDrive40 Paquete M Eléctrico"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/bmw-i5-2024-1821612
Jeep Renegade 2023|seminuevos|Jeep|Renegade|2023|14778.0|52991.0|$40K a más|Automática||"Híbrido|Automática
Kilometraje:
14,778 Kms
Lima, Lima
BMW X1 25e Híbrido Paquete Xline"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/bmw-x1-25e-2024-1822999
Mini Countryman Cooper 2025|seminuevos|Mini|Countryman Cooper|2025|6151.0|45991.0|$40K a más|Automática||"Gasolina|Automática
Kilometraje:
6,151 Kms
Lima, Lima
BMW M135i XDrive"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/bmw-m135i-2023-1830903
Mini Countryman S 2024|seminuevos|Mini|Countryman S|2024|36000.0|17990.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Kilometraje:
36,000 Kms
Lima, Lima
Seminuevo De Calidad"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/jeep-renegade-2022-1835807
Kia Picanto 2022|seminuevos|Kia|Picanto|2022|32907.0|18500.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Kilometraje:
32,907 Kms
Lima, Lima
MAZDA 3 PRIME 2.O MT 2020 BLANCO M/T HB 32907 $18,500.00"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/mazda-3-sport-2021-1838490
Mazda Cx-3 2022|seminuevos|Mazda|Cx-3|2022|10740.0|55991.0|$40K a más|Automática||"Híbrido|Automática
Kilometraje:
10,740 Kms
Lima, Lima
BMW 530e Híbrido"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/bmw-530e-2023-1826846
Mazda Cx-5 2020|seminuevos|Mazda|Cx-5|2020|45507.0|15500.0|$10K - $20K|Mecánica||"Diesel|Mecánica
Kilometraje:
45,507 Kms
Lima, Lima"|MOTOR ECONÓMICO|Lima, Lima|https://neoauto.com/auto/seminuevo/peugeot-partner-2024-1847475
Mercedes Benz Amg Gle 43 4matic 2019|seminuevos|Mercedes Benz|Amg Gle 43 4matic|2019|15867.0|20300.0|$20K - $30K|Automática||"Gasolina|Automática
Kilometraje:
15,867 Kms
Lima, Lima"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/jeep-renegade-2023-1835978
Porsche Cayman 2014|seminuevos|Porsche|Cayman|2014|77093.0|16000.0|$10K - $20K|Automática||"Gasolina|Automática
Kilometraje:
77,093 Kms
Lima, Lima"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/honda-civic-2017-1845123
Haval H6 2023|seminuevos|Haval|H6|2023|26800.0|44900.0|$40K a más|Automática||"Gasolina|Automática
Kilometraje:
26,800 Kms
Lima, Lima"|OCASIÓN|Lima, Lima|https://neoauto.com/auto/seminuevo/porsche-cayman-2014-1820298
Peugeot Partner 2022|seminuevos|Peugeot|Partner|2022|55000.0|24900.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
55,000 Kms
Arequipa, Arequipa"|AUDIO ESPECIAL|Arequipa, Arequipa|https://neoauto.com/auto/seminuevo/bmw-m135i-2017-1845997
Changan Cs35 2024|seminuevos|Changan|Cs35|2024|1406.0|20000.0|$10K - $20K|Automática||"Gasolina|Automática
Kilometraje:
1,406 Kms
Lima, Lima"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/haval-h6-2023-1847548
Hyundai Creta 2023|seminuevos|Hyundai|Creta|2023|30590.0|41991.0|$40K a más|Automática||"Gasolina|Automática
Kilometraje:
30,590 Kms
Lima, Lima
BMW X3 20i Confort"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/bmw-x3-20i-2021-1845126
Chery Q22 2021|seminuevos|Chery|Q22|2021|87030.0|13500.0|$10K - $20K|Mecánica||"Diesel|Mecánica
Kilometraje:
87,030 Kms
Lima, Lima"|MOTOR ECONÓMICO|Lima, Lima|https://neoauto.com/auto/seminuevo/peugeot-partner-2022-1844555
Mercedes Benz Cla 180 Coupe 2018|seminuevos|Mercedes Benz|Cla 180 Coupe|2018|6344.0|16000.0|$10K - $20K|Automática||"Dual|Automática
Kilometraje:
6,344 Kms
Lima, Lima"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/changan-cs35-2024-1845921
